City_ID,City,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
79,seoul,37.5683,126.9778,29.77,69,0,3.44,KR,2023-01-30 16:16:50
80,linjiang,41.8069,126.9078,13.23,89,100,2.04,CN,2023-01-30 16:16:51
81,saint-philippe,-21.3585,55.7679,78.39,85,72,4.97,RE,2023-01-30 16:16:52
82,bluff,-46.6,168.3333,66.2,73,68,8.63,NZ,2023-01-30 16:13:07
83,tasiilaq,65.6145,-37.6368,15.96,89,100,3.98,GL,2023-01-30 16:16:53
84,clyde river,70.4692,-68.5914,-18.17,76,100,4.61,CA,2023-01-30 16:16:53
85,amuntai,-2.4177,115.2494,74.34,98,100,0.76,ID,2023-01-30 16:16:55
86,sur,22.5667,59.5289,65.41,67,0,1.54,OM,2023-01-30 16:16:55
87,puerto del rosario,28.5004,-13.8627,62.35,63,40,16.11,ES,2023-01-30 16:16:56
88,marawi,7.9986,124.2928,72.25,78,13,1.77,PH,2023-01-30 16:16:56
89,labuhan,-6.8844,112.2051,78.48,86,100,5.53,ID,2023-01-30 16:16:57
90,yaring,6.8662,101.3689,76.14,82,100,13.18,TH,2023-01-30 16:16:58
91,provideniya,64.3833,-173.3,28.51,86,20,1.99,RU,2023-01-30 16:16:59
92,lompoc,34.6391,-120.4579,57.02,72,0,11.5,US,2023-01-30 16:16:15
93,pyaozerskiy,65.8333,31.1667,25.97,97,100,8.93,RU,2023-01-30 16:17:00
94,nanortalik,60.1432,-45.2371,24.93,89,80,14.14,GL,2023-01-30 16:17:00
95,ascension,30.2169,-90.9001,75.0,90,0,3.44,US,2023-01-30 16:17:01
96,souillac,-20.5167,57.5167,73.78,94,40,3.44,MU,2023-01-30 16:17:02
97,rikitea,-23.1203,-134.9692,79.39,71,21,8.1,PF,2023-01-30 16:17:02
98,shingu,33.7333,135.9833,39.36,52,4,4.47,JP,2023-01-30 16:17:03
99,gizo,-8.103,156.8419,83.21,67,100,3.13,SB,2023-01-30 16:17:04
100,sangar,63.9242,127.4739,-56.15,100,70,0.89,RU,2023-01-30 16:17:05
101,pacific grove,36.6177,-121.9166,59.41,49,0,11.99,US,2023-01-30 16:17:06
102,ewo,-0.8725,14.8206,72.77,84,82,4.43,CG,2023-01-30 16:17:07
103,kailua,21.4022,-157.7394,80.58,79,100,13.8,US,2023-01-30 16:17:08
104,belomorsk,64.5232,34.7668,33.12,86,100,11.5,RU,2023-01-30 16:17:09
105,tabou,4.423,-7.3528,78.71,83,97,4.9,CI,2023-01-30 16:17:10
106,palana,59.1167,159.9667,19.67,79,100,23.73,RU,2023-01-30 16:17:11
107,camana,-16.6228,-72.7111,74.5,83,92,3.53,PE,2023-01-30 16:17:12
108,danielskuil,-28.1887,23.5395,65.55,73,52,14.83,ZA,2023-01-30 16:17:13
109,petropavlovsk-kamchatskiy,53.0452,158.6483,19.99,53,75,2.24,RU,2023-01-30 16:17:14
110,benevento,41.2179,14.7464,42.75,87,32,2.84,IT,2023-01-30 16:17:14
111,awbari,26.5921,12.7805,47.43,26,0,6.46,LY,2023-01-30 16:17:16
112,husavik,66.0449,-17.3389,25.9,88,100,26.19,IS,2023-01-30 16:17:16
113,kodinsk,58.6881,99.1844,-17.48,100,95,1.99,RU,2023-01-30 16:17:17
114,ponta do sol,32.6667,-17.1,59.63,65,66,7.96,PT,2023-01-30 16:17:18
115,kosh-agach,50.0,88.6667,-20.34,99,99,2.82,RU,2023-01-30 16:17:19
116,tornio,65.8481,24.1466,19.42,88,82,14.76,FI,2023-01-30 16:17:20
117,tynda,55.1667,124.7167,-31.97,99,50,2.51,RU,2023-01-30 16:17:22
118,trelew,-43.249,-65.3051,61.16,68,77,22.59,AR,2023-01-30 16:16:37
119,turochak,52.2576,87.1224,-11.09,100,95,3.11,RU,2023-01-30 16:17:23
120,yeppoon,-23.1333,150.7333,85.78,59,97,6.4,AU,2023-01-30 16:17:24
121,nishihara,26.1842,127.7558,58.28,59,20,3.44,JP,2023-01-30 16:17:25
